"","D1n1","D1n2","D3n1","D3n2","D7n1","D7n2","LZn1","LZn2","Pachn1","Pachn2"
"NM_053084",0.1808946,0.4680854,0.1018215,0.5222247,0.1909512,0.3349972,0,0,0.09474219,0
"NM_001110498",0.4823855,0.5531918,0.6618399,1.164963,0.4910173,0.5786315,0,0.09109189,0.09474219,0
"NM_001110499",0,0,0,0,0,0,0,0,0,0
"NM_001110496",0,0,0,0,0,0,0,0,0,0
"NM_001110497",0,0,0,0,0,0,0,0,0,0
"NR_002888",2.65312,2.553193,1.883698,2.892321,4.55555,4.811778,14.82787,3.962497,12.60071,5.244516
"NR_002889",6.994589,6.765962,7.602674,6.347038,8.729197,8.58811,53.93907,28.10185,72.85674,30.09353
"NR_002885",0,0,0,0,0,0,0,0,0,0
"NR_002880",0,0,0,0,0,0,0,0,0,0
"NR_002881",0,0,0,0,0,0,0,0,0,0
"NR_002883",0,0,0,0,0,0,0,0,0,0
"NR_045705",0.06029818,0,0,0.04017113,0,0,0.2148967,0.09109189,0,0.1248694
"NM_001114079",0.3617891,0.6382983,0.5939589,0.321369,0.3273449,0.4872687,0.6446901,2.140659,0.5684531,0.4994777
"NM_153457",0.3617891,0.7234047,0.3903158,0.3615402,0.1363937,0.21318,19.98539,39.48833,19.23266,24.22467
"NM_173007",5.065047,4.468088,5.141987,4.338482,4.582828,4.964049,1.28938,1.138649,1.800102,0.437043
"NM_173004",0,0,0,0,0,0,0,0,0,0
"NM_173002",8.803535,10.12767,8.68877,5.182076,6.546898,5.938587,2.57876,0.6376432,4.642367,1.18626
"NM_173001",0.1205964,0.1702129,0,0.08034226,0.05455748,0.1218172,0.8595868,0.4099135,0.7579375,0.6867819
"NM_153459",18.75274,20.04257,12.11676,15.10434,14.15767,12.7908,0.4297934,0.1821838,0.7579375,0.1248694
"NM_153458",0,0,0,0,0,0,0,0,0,0
"NM_145353",21.64705,19.27661,29.08702,20.68813,18.63138,19.94756,11.81932,27.05429,10.89535,14.60972
"NM_001195255",0.2411927,0.2127661,0.05091076,0,0.1363937,0.1218172,8.380971,13.29942,3.979172,10.23929
"NM_001195253",0.06029818,0.04255322,0.03394051,0,0.109115,0.1218172,0.2148967,1.275286,0,0.3121736
"NM_001195258",3.135506,3.531917,5.549273,5.222247,5.046567,4.263601,0.4297934,4.82787,0.5684531,2.185215
